ID;SrcDatabase;Title;Author;Affiliation;Literature Source;Keyword;Abstract;PubTime;Year;PageCount;Abstract_Orig
P281;期刊;辛亥革命中留日医学生的救护行动;池子华;苏州大学社会学院 江苏苏州　215021;徐州师范大学学报;"辛亥革命;;留日医药学界红十字团;;战地救护";辛亥革命中留日医学生组织的红十字团加盟中国红十字会,从事辛亥战事战地救伤葬亡工作。留日医学生的行动增强了中国红十字会的救护力量,扩大了救护范围。中国红十字会辛亥战事救护取得圆满成功,留日医学生功不可没。;2004-04-30;2004;27-28+33;
P091;期刊;中国女子留日教育对近代中国女权主义启蒙的再认识;"徐悦超;";"四川大学历史文化学院;";旅游纵览(下半月);"女权主义;留日学生;留日教育;留学生群体;拒俄运动;实践女学校;湖南长沙;";"女权主义(Feminism)思想萌芽于十八世纪初,女权主义最初是一些受过教育的商人和下层士绅阶层妇女发起的抗议运动,她们撰文反对男性在家庭中独断专行而把妇女放在奴隶的地位。""女权主义最早出现于法国,五四时,传到中国,定义为女权主义。""中国女权运动兴盛于二十世纪前二三十年代,受过新式教育的中上层知识女性首先起来矢志于妇女运动自身权益的争取。""而近代中国女子留日的这段重要史实对其影响又很值得探讨。但二者关系复杂,涉及近代中国社会诸多方面,就此仅从近代中国女子留日教育对近代中国女权主义在教育、政治和思想观念方面的启蒙影响加以浅谈,以期对当下中国留学生群体所能产生之影响有所启示。";2014-04-23;2014;261+263;
P165;期刊;湘籍留日学生与辛亥革命;"杨斌;";湘潮(上半月);湘潮(上半月);"留日学生;孙中山;华兴会;同盟会;黄尊三;留学生;";"学子互相约集,一声‘向右转’,齐步辞别国内学堂,买舟东去,不远千里,北自天津,南自上海,如潮涌来。""这是对20世纪初中国学生留日风潮的描写。甲午战争后,清政府面临的内忧外患日益加深,资产阶级改良运动也逐渐进入高潮。为寻求救国救民之道,中国掀起一股出国留学热潮。在留学生中,随处可见";2011-10-05;2011;17-20;
P109;期刊;留日士官生与“西安事变”的和平解决;"陈芳;";"上海立信会计学院文法学院;";齐鲁学刊;"留日士官生;;西安事变;;和平解决";"西安事变是中国近代史上重要的历史事件,其历史意义在于事变的和平解决以及由此促成的国共之间的政治和解。回观这段历史,发现有不少留日士官生出身的国民党高级官员参与其中,除却直接参与军事行动者外,他们对张、杨之扣蒋行为有着不同的反应和表现,或谴责、或质问、或劝解、或主张武力讨伐,最终成为国民党方面""促和""的一支重要政治力量。";2013-07-15;2013;56-62;
P017;期刊;北平艺专留日中国教员及日本教员辑观;"曹庆晖;";"中央美术学院人文学院美术史系;";美术大观;"北平艺专;;留日中国教员;;日本教员";北平艺专在本文主要指民国时期在北平多次更名办学的国立艺术学校。自1918年北京美术学校成立，至1949年国立北平艺术专科学校被中国人民解放军北平市军事管制委员会文化接管小组接管，三十年间，这一艺术学府经不同政府主管，受日本和欧美国家先发美术教育理念与实践影响，持续或不同程度地发展出绘画（中国画、西洋画）、图案、陶瓷、工艺美术、雕塑、音乐、建筑、戏剧等系科专业，形成不少于540人的教学师资队伍。迄今为止，经不完全调查，已核实其中留日中国教员不少于56人，日本教员13人，他们出自20多所日本公私立学校，在北平艺专沿革史上承担中国画、西洋画、图案、陶瓷、工艺美术、雕塑、建筑、音乐等专业系科，以及美学美术史论、解剖学、日文等公共课程的教学。本文将以所见北平艺专教职员名簿为基准，借助大学图书馆普通数据库，综合参考年谱长编、期刊画报、个案研究、专题著述、展览研究等方面信息，从全系科层面而非狭义的美术层面对目前锁定的这69位教员予以简要介绍，通过辑观初步了解教员的生平履历、教员与系科的关系、学校沿革与取法对象的不同对教员与系科选择的影响、近年来围绕教员展开的相关研究、可以继续讨论的话题，以及未被充分注意的问题等。总之，本文仅是从整体上了解基本情况与线索的报告，虽为辑观，但受个人所知程度、成果把握和材料甄别能力，以及各学科个案研究进展速度等方面的局限，因此最终形成的叙述文本依旧是相对、即时和主观的。;2022-08-15;2022;45-61;
P404;硕士;近代留日学生“成城入学”事件研究;揭美芳;湖北大学;湖北大学;"留日自费生;;“成城入学”事件;;互动博弈;;舆论立场";"成城入学事件是留日学生第一次公开争取自身权益的事件,在这一事件中,留日学生不仅公开争取了自身权益,而且提出了“争国权”、“反日本人干涉”的口号,带有一定的政治意义。因此,它被看作是揭开清末留日学生运动序幕的关键性事件。而学者虽对“成城入学”事件有一定关注,但通常将之放置于留日通史的某个角落,泛泛而谈;或者将它置于革命视角下,简单地将它定义为留日学生的第一次政治运动。然而,“成城入学”事件因入学问题而起,反映的是当时的教育问题。因此,从新的研究角度出发,重建“成城入学”一案的史实显得尤为重要。在中日双方的大力倡导和支持下,去日留学成为时代潮流,留日学生人数逐年增加。至学潮发生之时,留日学生已增至600余人,其中自费生占据半数。然而,在1902年以前,官方对自费生的管理较为欠缺,入学问题一直困扰着留日自费生。日本制定的接收政策又无意中增加了自费生的入学难度。蔡公使虽然负责“留日学生工作”,但却不得人心,留日学生与公使之间的关系因“蔡公使密书”一事渐行渐远。“成城入学”事件就是在这样危机重重的教育环境下爆发的。“成城入学”事件发生于1902年,因自费生的入学问题而起。1902年7月13日,为帮助9名自费生留学日本成城学校学习军事,热心学务的吴敬恒偕同孙揆均带领9名自费生求保证书于驻日公使蔡钧,被蔡公使拒绝,引发双方冲突,最后吴、孙二人以妨碍使馆治安罪被日本警察拘留,激起了留日学生的愤慨与反抗,酿成学潮。吴、孙被捕的消息透过报纸传出,不同的社会群体基于不同目的做出不同反应,学潮扩大化。学潮发生过程中,各方就如何归责、自费生如何入学、留日学生如何管理三大问题展开互动博弈。关于归责问题,蔡公使和学生相互指责,说法不一。日本当局认为此事为双方误会引起,清政府基本同意日本当局说法,而留日学生虽为吴、孙打抱不平,尚未产生与清政府决裂的想法。因此,归责问题在清政府、留日学生及日本当局三方相互“谅解”下和平化解。关于自费生入学问题,蔡公使虽多次颁布谕令进行解释,但无意解决问题;吴汝纶为争取自费生入学权利,多次与日本当局协商,但个人力量有限,并未起到较大作用;清国留学生会馆作为学生与政府信赖的“半官方”机构,为此事多次与东亚同文会进行交涉,最后双方做出调整,自费生问题成功解决。关于留日学生管理问题,中日政府就设立留日学生总监督一职达成共识,此项制度的确立符合各方利益。在互动博弈的同时,各大报刊纷纷发声站队,一时间形成了三大舆论立场:偏袒蔡公使,偏袒学生及保持中立。申报偏袒蔡公使,反映保守派和清政府的话语权;新民丛报偏袒学生,反映出康梁党派以及留日学生的话语权;大公报同样偏袒学生,但反映出日方的话语权;除此之外,也有少数群体对此持中立意见。不同的舆论立场不仅反映出各大报刊的态度以及不同社会群体的话语权,更体现出不同群体之间的利益纷争与观念差异。学潮发生后,中央政府和地方政府强化了对留日自费生的管理,同时对自费生进行了一定的限制和约束。而部分留日学生因此事对清政府深感失望,走上了与清政府决裂的道路,革命思潮公开化。通过对“成城入学”事件的考察,不难发现它是一次因入学问题而起的风潮,与当时的教育问题息息相关。而从各方针对三大问题进行的互动博弈情况来看,可以发现清政府、日本政府、留日学生以及学生组织之间正处于“强互动、弱博弈”的格局之下。通过考察当时社会的话语权,不难发现留日学生界的思想依旧处在爱国阶段,并未产生与清政府决裂的想法。因此,它的政治意义并不浓厚。事实证明,“成城入学”事件并非一次纯粹的政治运动,而是动机较为单纯,学生自发参与,为争取自身权益的一次风潮。";2020-04-13;2020;;
P373;期刊;留日学生运动与辛亥革命;谢玉章 ,王永康;湖南师院学报(哲学社会科学版);湖南师院学报(哲学社会科学版);"留日学生;中国学生;同盟会;帝国主义;留学生;";二十世纪初,中国资本主义有了初步发展,新兴资产阶级逐步形成,涌现出资产阶级、小资产阶级知识分子,他们在戊戌变法和义和团反帝斗争相继失败后,看到清朝廷成为帝国主义压迫奴役人民的工具,中国濒临亡国灭种的危险,纷纷自备斧资出国留学,寻找救国救民的新途径。日本邻近我国,学费负担较轻,文字接近,学习也较方便,而且去日本,容易注视国内局势的变化,便于及时潜回国内进行革命活动。留日学生印发的劝游学书、致江;1980-04-30;1980;60-69;
P380;辑刊;日本警察当局逮捕中国留日学生报告(1931年);"王建华;";上海鲁迅研究;上海鲁迅研究;"中国留日学生;";上海鲁迅研究之前曾刊载过日本学者小谷一郎介绍留日学生组织“中华留日社会科学研究会”“中国青年艺术联盟”等组织的活动，本篇作为相关资料的一部分，曾作为附录收录小谷一郎所作一九三〇年代中国人日本留学生文学·艺术活动史(日本汲古书院2011年版)，原刊昭和六年(1931年，下文标公历纪年)六月日本内务省警保局外事警察报第一〇七号。本文由王建华摘译。;2022-12-31;2022;;
P354;期刊;辛亥革命前陕甘留日学生创办的刊物-《关陇》;"王公望;";理论学习;理论学习;"编撰者;《关陇》;留日学生;帝国主义;";关陇是辛亥革命前陕甘留日学生在日本创办的刊物之一。十九世纪末期,在中国民族危机日益严重的情况下,探求救亡图存、振兴中华之道路已成为时代之要求、人心之所向。进入二十世纪后,帝国主义对中国的;1984-06-29;1984;44-47;
P177;期刊;《劝学篇》与中国近代留日高潮;"尹贞姬;";"大连外国语学院;";日语学习与研究;"《劝学篇》;;留学日本;;“游学”思想;;中国教育现代化";"劝学篇作为中国近代最具有影响力的一部教育名著,除了它的学术价值之外,部分篇章所提出的改革和发展留日教育的思想与措施也是值得借鉴的。本文以鸦片战争后中国人西洋观的嬗变为劝学篇问世的时代背景,从劝学篇所反映的游学目的、游学作用、游学趋向三方面的认识来剖析其游学思想,从而揭示出张之洞提出""中体西用""思想的缘由,并对其游学思想进行客观评价。探讨劝学篇对理解中国近代留日现象以及近代日本对中国教育现代化的影响具有深远的意义。";2011-04-25;2011;119-125;
