NameID,Name_ZhT,Birthprov,BirthLoc,Univ_ZhT,Institution
N07030,孫俍工,湖南,邵陽,上智大學,監察院
N04364,侯朝海,江蘇,無錫,中央氣象台,漁牧司
N01544,周樹嘉,湖南,衡山,九州大學,國庫署
N03503,徐誦明,浙江,新昌,九州大學,醫學教育委員會
N06750,楊祖詒,江西,寧岡,九州大學,法規委員會
N04704,史維煥,貴州,貴定,京都大學,勞動局
N04704,史維煥,貴州,貴定,京都大學,立法院
N01072,朱慶儒,吉林,寧安,京都大學,外交部亞東司
N06592,李立俠,湖北,宜城,京都大學,行政法院第二庭
N01060,林定平,湖南,石門,京都大學,外交部亞東司
N06722,王惠中,貴州,沿河,京都大學,法規委員會
N06722,王惠中,貴州,沿河,京都大學,秘書室
N06157,陳海澄,江蘇,阜甯,京都大學,立法院
N06688,馬洪煥,廣東,台山,京都大學,法規委員會
N06688,馬洪煥,廣東,台山,京都大學,銓敘部
N00995,黃厚端,湖南,長沙,京都大學,內政部營建司
N03499,龍發甲,江西,永新,京都大學,專門技術工作諮詢處
N05935,龔樹森,湖北,監利,京都大學,會計處
N02703,席德懋,江蘇,吳縣,仙台大學,金融研究委員會
N03001,韋特孚,安徽,霍邱,仙台大學,商業司
N04468,邵均,江蘇,宜興,北海道帝國大學,農林部
N05854,金寶善,浙江,紹興,千葉醫科大學,衛生署
N02945,李崇典,四川,仁壽,名古屋高等工業學校,經濟部
N06515,楊井畊,浙江,鎮海,大阪工業大學,書記廳
N00025,胡毅生,廣東,番禺,大阪工業大學,國民政府國史館籌備委員會
N00025,胡毅生,廣東,番禺,大阪工業大學,國民政府委員會
N05460,阮承霖,陝西,安康,大阪工業大學,編譯室
N03716,黃桂祺,江蘇,崇明,大阪工業大學,交通部第四組
N00666,吳子雋,湖南,湘潭,宏文學院,行政院
N00030,周仲良,貴州,黎平,宏文學院,國民政府文官處
N06782,歐陽瑞驊,湖北,沔陽,宏文學院,總務司
N06983,王平政,山西,解縣,宏文學院,監察院
N06328,茅祖權,江蘇,海門,宏文學院,司法院
N06710,譚翼珪,江蘇,松江,宏文學院,法規委員會
N06710,譚翼珪,江蘇,松江,宏文學院,獎卹司
N06378,馮鎮東,湖北,漢川,宏文學院,視察室
N02909,陳匪石,江蘇,南京,實科學校,經濟部
N01759,沈亞清,安徽,六安,專修大學,稅務署
N01070,余紫驤,安徽,休寧,山口高等商業學校,外交部亞東司
N00892,楊君勱,山東,NA,廣島高等師范,內政部民政司
N06995,蔡自聲,山東,高密,廣島高等師范學校,監察院
N07008,吳建常,陝西,涇陽,弘文學院,監察院
N07016,張華瀾,雲南,石屏,弘文學院,監察院
N07364,何啟澧,廣東,順德,慶應大學,廣西審計處
N07125,吳金堂,安徽,歙縣,慶應大學,審計部
N04127,孫銘修,江蘇,無錫,慶應大學,秘書室
N02749,彭鍾善,湖北,武昌,慶應大學,貨物評價委員會
N07121,李崇實,陝西,藍田,慶應大學,審計部
N07332,汪以文,湖南,益陽,慶應大學,駐中國交通農民銀行審計室
N04129,沈祖衡,浙江,海鹽,慶應大學,秘書室
N01292,王家楨,吉林,雙城,慶應大學,專員協辦處
N07117,王籍田,陝西,NA,慶應大學,新疆監察區
N07039,程祖劭,江蘇,武進,慶應大學,監察院
N04124,譚振民,浙江,黃岩,慶應大學,秘書室
N07331,郗昌麒,陝西,華陰,慶應大學,駐中國交通農民銀行審計室
N00858,劉燧昌,貴州,興義,成城學校,內政部第四組
N01224,陶鶴保,江蘇,鐵梅,成城學校,總務司庶務科會計室
N02425,魏炳辰,河北,寧河,成城學校,總務司
N06456,張于潯,江西,南昌,振武學校,刑事第二庭
N00001,蔣中正,浙江,奉化,振武學校,中央警官學校
N00001,蔣中正,浙江,奉化,振武學校,國民政府委員會
N00001,蔣中正,浙江,奉化,振武學校,導淮委員會
N00001,蔣中正,浙江,奉化,振武學校,行政院
N04604,周泰京,江西,南豐,政法大學,社會福利司
N05243,廖維勳,湖南,常德,政法大學,監獄司
N05235,牟家夔,山東,日照,政法大學,刑事司
N04680,陳岩松,浙江,永嘉,政法大學,合作事業管理局
N06314,張樹勛,江蘇,NA,文學院,軍事委員會
N01980,淩惕淵,四川,成都,文學院,錢幣司
N00439,陳遵嬀,福建,閩侯,文理科大學,天文研究所
N06608,于若愚,湖南,臨澧,日本中央大學,中央公務員懲戒委員會
N00035,但燾,湖北,蒲圻,日本中央大學,國民政府國史館籌備委員會
N00035,但燾,湖北,蒲圻,日本中央大學,國民政府文官處
N05791,何家濂,福建,閩侯,日本中央大學,工務處
N03520,劉開達,江蘇,寶應,日本中央大學,國民教育輔導研究委員會
N05144,夏勤,江蘇,泰縣,日本中央大學,司法行政部
N05789,張智斌,安徽,合肥,日本中央大學,工務處
N05787,張漢,安徽,壽縣,日本中央大學,工務處
N06147,曾彥,廣西,靖西,日本中央大學,立法院
N06034,朱章寶,浙江,金華,日本中央大學,地權處
N06184,李元白,四川,成都,日本中央大學,秘書室
N01986,李家瀚,江西,九江,日本中央大學,錢幣司
N06584,潘培敏,湖南,醴陵,日本中央大學,行政法院第一庭
N00021,王伯羣,貴州,興義,日本中央大學,國民政府國史館籌備委員會
N00021,王伯羣,貴州,興義,日本中央大學,國民政府委員會
N04812,王振九,安徽,NA,日本中央大學,蘭州社會服務處
N06581,王淮琛,安徽,六安,日本中央大學,行政法院第一庭
N05796,王鶴亭,江蘇,江陰,日本中央大學,工務處
N05805,賀維城,安徽,宿縣,日本中央大學,工務處
N05170,蹇先榘,貴州,遵義,日本中央大學,參事處
N05332,郗朝俊,陝西,華陰,日本中央大學,湖北高等法院
N04148,陳揆,江蘇,常州,日本中央大學,工作競賽辦事處
N01965,馮祥麟,江蘇,南京,日本中央大學,緝私署
N05571,黃震東,湖北,石首,日本中央大學,會計室
N03625,黃麟書,廣東,龍川,日本中央大學,教育部戰區教師第三工作團
N03595,余鍾志,四川,涪陵,日本大學,美術教育委員會
N02199,孫炤烜,江蘇,徐州,日本大學,專賣事業司
N00005,居正,湖北,廣濟,日本大學,司法院
N00005,居正,湖北,廣濟,日本大學,國民政府委員會
N01757,席秉章,山西,桓曲,日本大學,稅務署
N05034,張仁川,廣東,NA,日本大學,財務司
N03308,張兆煥,福建,仙游,日本大學,蒙藏教育司
N06691,張忠道,安徽,六安,日本大學,法規委員會
N06691,張忠道,安徽,六安,日本大學,考選委員會
N00007,戴傅賢,浙江,吳興,日本大學,國民政府委員會
N00063,曾省三,湖北,應城,日本大學,國民政府文官處
N06597,李丹亭,湖北,石首,日本大學,書記廳
N04780,李卓之,四川,開縣,日本大學,勞動局
N05145,李盛鳴,湖北,蘄春,日本大學,秘書處
N05349,林炳勳,福建,閩侯,日本大學,福建高等法院
N05422,武和軒,山西,文水,日本大學,蒙藏委員會
N01068,段為,遼寧,遼縣,日本大學,外交部亞東司
N06400,王用賓,山西,猗氏,日本大學,中央公務員懲戒委員會
N06400,王用賓,山西,猗氏,日本大學,法規研究委員會
N04552,王開元,福建,閩侯,日本大學,總務司第一科
N06409,管曙東,安徽,壽縣,日本大學,法規研究委員會
N03064,蘇鳳翔,湖北,武昌,日本大學,商業司
N02865,賀俊人,福建,惠安,日本大學,公債司總務處
N05244,賀德勳,湖北,沔陽,日本大學,監獄司
N04840,邵本恆,浙江,衢縣,日本大學,糧食部
N05315,鄭烈,福建,福州,日本大學,最高法院檢察署
N04538,鈕長耀,江蘇,上海,日本大學,社會部
N02909,陳匪石,江蘇,南京,日本大學,經濟部
N05155,陳士誠,福建,霞浦,日本大學,秘書處
N05946,高梅芳,江蘇,無錫,日本大學,會計處
N06183,黃懺華,廣東,順德,日本大學,秘書室
N06312,何昂,福建,閩侯,早稻田大學,軍事委員會
N01721,况厚豐,四川,達縣,早稻田大學,稅務署
N01159,劉博崑,遼寧,安康,早稻田大學,外交部情報司
N05237,劉子昂,江西,宜豐,早稻田大學,刑事司
N06607,劉武,湖南,湘潭,早稻田大學,中央公務員懲戒委員會
N00085,劉毅夫,湖南,常德,早稻田大學,國民政府文官處
N00030,周仲良,貴州,黎平,早稻田大學,國民政府文官處
N01076,孫秉乾,吉林,榆樹,早稻田大學,外交部亞東司
N05565,孫荷曾,廣東,NA,早稻田大學,僑民教育處
N03523,張希文,河北,棗強,早稻田大學,國民教育輔導研究委員會
N05612,張掄元,浙江,吳興,早稻田大學,振濟委員會第一處
N03765,張毓驊,江蘇,崇明,早稻田大學,財務司第六科
N00599,張清廉,河北,正定,早稻田大學,國民政府國史館籌備委員會
N02439,張貽蘭,福建,NA,早稻田大學,總務司
N02205,彭伯興,安徽,廣德,早稻田大學,專賣事業司
N02919,徐梗生,江西,進賢,早稻田大學,經濟部
N01093,徐源達,浙江,德清,早稻田大學,外交部亞東司
N06462,徐造鳳,湖北,孝感,早稻田大學,刑事第三庭
N00646,方叔章,湖南,長沙,早稻田大學,行政院
N01738,曾遜彜,江西,吉安,早稻田大學,稅務署
N06891,朱希祖,浙江,海鹽,早稻田大學,考選委員會
N06413,梅光羲,江西,南昌,早稻田大學,法規研究委員會
N07196,楊憲生,河南,偃師,早稻田大學,審計部第三廳
N06585,楊玉清,湖北,孝感,早稻田大學,行政法院第一庭
N07368,楊祥蔭,陝西,長安,早稻田大學,甘肅審計處
N03600,汪東,江蘇,吳縣,早稻田大學,國立禮樂館
N03600,汪東,江蘇,吳縣,早稻田大學,監察院
