NameID;Name_ZhT;IDCH;OrgSup;Institution;Type_1;Type_2;Type_2_Orig;Institution_Lev_2;Institution_Lev_3;Prov_Inst;City_Inst;Position;Level_Code;Level_New;StartPosYear;StartPosMonth;StartJob;Zi;BirthProv;BirthLoc;Gender;Age;Birthyear;Generation;Status
N04604;周泰京;P10053;;東北大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;;江西;南豐;M;38;1907;5;P
N04864;劉竹賢;P10767;;西北農學院;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;;四川;敍永;M;35;1910;5;P
N05541;丁衍鏞;P12370;;中華藝術大學;INTEL;ACAD;ACAD;;;;;教務主任;MM;Middle Management;;;;;廣東;茂名;M;43;1902;4;P
N05541;丁衍鏞;P12371;;新華藝專;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;;廣東;茂名;M;43;1902;4;P
N05590;陳訪先;P12519;中國國民黨;中央政治學校;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;;安徽;東流;M;51;1894;3;P
N00508;陶孟和;P1279;;北京大學;INTEL;ACAD;ACAD;;;;;教務長;MM;Middle Management;;;;;河北;天津;M;56;1889;3;P
N05787;張漢;P13150;;中央大學;INTEL;ACAD;ACAD;;;;;助教;AOS;Administrative and Office Staff;;;;雲倬;安徽;壽縣;M;31;1914;5;P
N00544;蘇步青;P1345;;浙江大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;;浙江;平陽;M;43;1902;4;P
N00545;陳建功;P1346;;浙江大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;;浙江;紹興;M;50;1895;3;P
N05946;高梅芳;P13643;;江蘇省立醫學院;INTEL;ACAD;ACAD;;;;;研究員;SCS;Senior Civil Service;;;;楳放;江蘇;無錫;M;30;1915;5;P
N05946;高梅芳;P13644;;江蘇省立醫學院;INTEL;ACAD;ACAD;;;;;助教;AOS;Administrative and Office Staff;;;;楳放;江蘇;無錫;M;30;1915;5;P
N06034;朱章寶;P13834;;暨南大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;隱青;浙江;金華;M;54;1891;3;P
N06090;黃右昌;P13958;;北京大學;INTEL;ACAD;ACAD;法科系;;;;主任;MM;Middle Management;;;;黼馨;湖南;臨澧;M;60;1885;2;P
N06090;黃右昌;P13960;;湖南大學;INTEL;ACAD;ACAD;;;;;校長;EM;Executive Management;;;;黼馨;湖南;臨澧;M;60;1885;2;P
N06096;羅鼎;P13986;;北京大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;重民;湖南;攸縣;M;57;1888;3;P
N06096;羅鼎;P13987;;中央大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;重民;湖南;攸縣;M;57;1888;3;P
N06123;趙琛;P14087;;上海法政學院;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;韻逸;浙江;東陽;M;45;1900;4;P
N06123;趙琛;P14088;;上海法政學院;INTEL;ACAD;ACAD;;;;;主任;MM;Middle Management;;;;韻逸;浙江;東陽;M;45;1900;4;P
N06123;趙琛;P14089;;東吳大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;韻逸;浙江;東陽;M;45;1900;4;P
N06157;陳海澄;P14212;;江蘇省立法政大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;劍秋;江蘇;阜甯;M;49;1896;3;P
N06162;鄒善群;P14231;;中山大學;INTEL;ACAD;ACAD;;;;;副教授;SCS;Senior Civil Service;;;;;廣東;大埔;M;42;1903;4;P
N06170;呂復;P14261;;中山大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;健秋;河北;北京;M;65;1880;2;P
N06182;史太璞;P14314;;中山大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;;安徽;桐城;M;52;1893;3;P
N06254;譚平;P14428;;中山大學;INTEL;ACAD;ACAD;;;;;教授;SCS;Senior Civil Service;;;;昭衡;廣東;中山;M;49;1896;3;P
