NameID,Name_ZhT.x,IDCH,OrgSup,Institution,Type_1,Type_2,Type_2_Orig,Institution_Lev_2,Institution_Lev_3,Prov_Inst,City_Inst,Position,Level_Code,Level_New,StartPosYear,StartPosMonth,StartJob,Name_ZhT.y,Zi,BirthProv,BirthLoc,Gender,Age,Birthyear,Generation,年齡
N04512,丁穎,P9797,NA,中山大學,INTEL,ACAD,ACAD,NA,NA,NA,NA,教授,SCS,Senior Civil Service,NA,NA,NA,丁穎,NA,廣東,茂名,M,56,1889,3,56
N05541,丁衍鏞,P12370,NA,中華藝術大學,INTEL,ACAD,ACAD,NA,NA,NA,NA,教務主任,MM,Middle Management,NA,NA,NA,丁衍鏞,NA,廣東,茂名,M,43,1902,4,43
N05541,丁衍鏞,P12372,NA,全國美術展覽會,GOV,MISC,MISC,NA,NA,NA,NA,總務委員,MM,Middle Management,NA,NA,NA,丁衍鏞,NA,廣東,茂名,M,43,1902,4,43
N05541,丁衍鏞,P12373,國民政府,安徽省第六區行政都察專員公署,GOV,GOV-L,GOV-L,NA,NA,NA,NA,科員,AOS,Administrative and Office Staff,NA,NA,NA,丁衍鏞,NA,廣東,茂名,M,43,1902,4,43
N05541,丁衍鏞,P12371,NA,新華藝專,INTEL,ACAD,ACAD,NA,NA,NA,NA,教授,SCS,Senior Civil Service,NA,NA,NA,丁衍鏞,NA,廣東,茂名,M,43,1902,4,43
N02188,仇預,P4672,國民政府,法院,GOV,GOV-J,GOV-J,NA,NA,NA,NA,院長,SEM,Senior Executive Management,NA,NA,NA,仇預,立夫,江蘇,南京,M,59,1886,3,59
N05427,任翿和,P12047,北洋政府,吉林延吉地方審判廳,GOV,GOV-J,GOV-J,NA,NA,NA,NA,推事,SCS,Senior Civil Service,NA,NA,NA,任翿和,秋濤,湖北,武昌,M,53,1892,3,53
N05427,任翿和,P12048,北洋政府,宜昌地方檢察廳,GOV,GOV-J,GOV-J,湖北宜昌施南鐘詳地方檢察廳,NA,NA,NA,審察長,SCS,Senior Civil Service,NA,NA,NA,任翿和,秋濤,湖北,武昌,M,53,1892,3,53
N05427,任翿和,P12049,NA,寶清縣湖北孝感縣,GOV,GOV-L,GOV-L,NA,NA,NA,NA,知事,AOS,Administrative and Office Staff,NA,NA,NA,任翿和,秋濤,湖北,武昌,M,53,1892,3,53
N05427,任翿和,P12050,國民政府,湘鄂區麥粉特稅局,GOV,GOV-L,GOV-L,NA,NA,NA,NA,課長,AOS,Administrative and Office Staff,NA,NA,NA,任翿和,秋濤,湖北,武昌,M,53,1892,3,53
N00035,但燾,P0197,軍政府,參議院,GOV,GOV-C,GOV-C,NA,NA,NA,NA,秘書長,SCS,Senior Civil Service,NA,NA,NA,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N00035,但燾,P1518,國民政府,國民政府,GOV,GOV-C,GOV-C,NA,NA,NA,NA,秘書,AOS,Administrative and Office Staff,NA,NA,NA,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N00035,但燾,P0196,軍政府,大元帥府,GOV,GOV-C,GOV-C,NA,NA,NA,NA,秘書長,SCS,Senior Civil Service,NA,NA,NA,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N00035,但燾,P1515,軍政府,大元帥府,GOV,GOV-C,GOV-C,秘書局,NA,NA,NA,局長,MM,Middle Management,NA,NA,NA,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N00035,但燾,P0194,北洋政府,大總統府,GOV,GOV-C,GOV-C,NA,NA,NA,NA,秘書,AOS,Administrative and Office Staff,NA,NA,NA,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N00035,但燾,P1514,北洋政府,大總統府,GOV,GOV-C,GOV-C,NA,NA,NA,NA,秘書長,SCS,Senior Civil Service,NA,NA,NA,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N00035,但燾,P0195,北洋政府,大總統府,GOV,GOV-C,GOV-C,公報局,NA,NA,NA,局長,MM,Middle Management,NA,NA,NA,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N00035,但燾,P0198,軍政府,憲法會議,GOV,GOV-C,GOV-C,NA,NA,NA,NA,秘書長,SCS,Senior Civil Service,NA,NA,NA,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N00035,但燾,P0199,國民政府,湖北省政府,GOV,GOV-L,GOV-L,NA,NA,NA,NA,委員,MM,Middle Management,NA,NA,NA,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N00035,但燾,P0200,中國國民黨,湖北省黨部,POL,POL-L,POL-L,NA,NA,NA,NA,候補監察委員,MM,Middle Management,NA,NA,NA,但燾,植之,湖北,蒲圻,M,63,1881,2,63
N06736,何基鴻,P15580,NA,北京大學,INTEL,ACAD,ACAD,NA,NA,NA,NA,院長,SEM,Senior Executive Management,NA,NA,NA,何基鴻,海秋,河北,藁縣,M,56,1889,3,56
N06736,何基鴻,P15581,國民政府,河北省政府,GOV,GOV-L,GOV-L,教育廳,NA,NA,NA,廳長,EM,Executive Management,NA,NA,NA,何基鴻,海秋,河北,藁縣,M,56,1889,3,56
N04944,何孝純,P19088,中國國民黨,中央黨部,POL,POL-C,POL-C,NA,NA,NA,NA,主任幹事,MM,Middle Management,NA,NA,NA,何孝純,NA,福建,閩侯,M,39,1906,4,39
N04944,何孝純,P19090,國民政府,屏南縣,GOV,GOV-L,GOV-L,NA,NA,NA,NA,縣長,MM,Middle Management,NA,NA,NA,何孝純,NA,福建,閩侯,M,39,1906,4,39
N04944,何孝純,P19089,中國國民黨,福建省黨部,POL,POL-L,POL-L,NA,NA,NA,NA,黨務指導員,AOS,Administrative and Office Staff,NA,NA,NA,何孝純,NA,福建,閩侯,M,39,1906,4,39
N04944,何孝純,P19091,國民政府,金門縣,GOV,GOV-L,GOV-L,NA,NA,NA,NA,縣長,MM,Middle Management,NA,NA,NA,何孝純,NA,福建,閩侯,M,39,1906,4,39
N05791,何家濂,P13157,NA,壽農溪河水利發電廠,BUSI,COMP,COMP,NA,NA,NA,NA,試用實習員,AOS,Administrative and Office Staff,NA,NA,NA,何家濂,NA,福建,閩侯,M,28,1917,6,28
